=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.10.07 15:13:29 =~=~=~=~=~=~=~=~=~=~=~=
™ÿAdafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
Gyro range set to: +- 500 deg/s
Filter bandwidth set to: 21 Hz

6848,-1.23,-0.09,7.35,-0.02,-0.04,-0.04
6903,-1.23,-0.09,7.33,-0.02,-0.04,-0.04
6959,-1.23,-0.08,7.36,-0.02,-0.04,-0.04
7014,-1.25,-0.11,7.35,-0.02,-0.04,-0.04
7069,-1.23,-0.10,7.34,-0.02,-0.04,-0.04
7126,-1.24,-0.11,7.37,-0.02,-0.04,-0.04
7181,-1.24,-0.08,7.35,-0.02,-0.04,-0.04
7236,-1.23,-0.11,7.35,-0.02,-0.04,-0.04
7291,-1.25,-0.11,7.34,-0.02,-0.04,-0.04
7347,-1.23,-0.09,7.34,-0.02,-0.04,-0.04
7403,-1.25,-0.10,7.34,-0.02,-0.04,-0.04
7458,-1.24,-0.09,7.35,-0.02,-0.04,-0.04
7514,-1.24,-0.10,7.32,-0.02,-0.04,-0.04
7569,-1.22,-0.09,7.33,-0.02,-0.04,-0.04
7624,-1.22,-0.11,7.36,-0.02,-0.04,-0.04
7681,-1.24,-0.10,7.32,-0.02,-0.04,-0.04
7736,-1.25,-0.09,7.34,-0.02,-0.04,-0.04
7791,-1.25,-0.12,7.33,-0.02,-0.04,-0.04
7846,-1.24,-0.11,7.32,-0.02,-0.04,-0.04
7902,-1.23,-0.10,7.34,-0.02,-0.04,-0.04
7958,-1.23,-0.08,7.34,-0.02,-0.04,-0.04
8013,-1.24,-0.10,7.31,-0.02,-0.04,-0.04
8069,-1.23,-0.10,7.32,-0.02,-0.04,-0.04
8124,-1.26,-0.09,7.35,-0.02,-0.04,-0.04
8179,-1.22,-0.09,7.36,-0.02,-0.04,-0.04
8236,-1.24,-0.10,7.35,-0.02,-0.05,-0.04
8291,-1.24,-0.11,7.33,-0.02,-0.04,-0.04
8346,-1.22,-0.09,7.37,-0.02,-0.04,-0.04
8401,-1.36,-0.59,7.32,-0.01,-0.04,-0.35
8457,-1.08,0.11,7.33,-0.01,-0.04,-0.16
8513,-1.20,-0.05,7.35,-0.02,-0.04,-0.06
8568,-1.13,-0.30,7.35,-0.02,-0.04,-0.05
8624,-1.23,-0.25,7.33,-0.02,-0.04,-0.01
8679,-1.26,-0.36,7.37,-0.02,-0.04,0.03
8734,-1.23,-0.32,7.34,-0.03,-0.04,0.08
8791,-1.24,-0.10,7.32,-0.03,-0.04,0.13
8846,-1.07,-0.38,7.27,-0.03,-0.05,0.17
8901,-1.25,0.11,7.35,-0.03,-0.04,0.19
8956,-1.17,0.16,7.30,-0.03,-0.04,0.13
9012,-1.25,0.25,7.34,-0.03,-0.04,0.11
9068,-1.31,0.38,7.32,-0.03,-0.04,0.04
9123,-1.22,-0.09,7.33,-0.02,-0.04,-0.04
9179,-1.22,-0.10,7.33,-0.02,-0.04,-0.04
9234,-1.35,-0.26,7.33,-0.02,-0.04,-0.10
9290,-1.35,0.19,7.33,-0.02,-0.05,-0.15
9346,-1.33,-0.00,7.36,-0.01,-0.04,-0.18
9401,-1.21,-0.07,7.35,-0.01,-0.04,-0.22
9456,-1.16,-0.10,7.33,-0.02,-0.04,-0.18
9511,-1.19,-0.05,7.31,-0.01,-0.04,-0.19
9568,-1.23,0.04,7.34,-0.01,-0.04,-0.22
9623,-1.15,0.01,7.35,-0.01,-0.04,-0.26
9678,-1.14,-0.25,7.30,-0.01,-0.04,-0.23
9734,-1.18,-0.46,7.34,-0.02,-0.04,-0.15
9789,-1.32,-0.66,7.33,-0.02,-0.04,-0.05
9845,-1.26,-0.11,7.33,-0.02,-0.04,-0.05
9901,-1.23,-0.11,7.33,-0.02,-0.04,-0.15
9956,-1.16,-0.07,7.33,-0.02,-0.04,-0.08
10011,-1.22,-0.10,7.34,-0.02,-0.04,-0.04
10067,-1.24,-0.09,7.36,-0.02,-0.04,-0.04
10123,-1.24,-0.10,7.36,-0.02,-0.04,-0.04
10178,-1.24,-0.10,7.36,-0.02,-0.04,-0.04
10233,-1.23,-0.10,7.34,-0.02,-0.04,-0.04
10289,-1.23,-0.10,7.40,-0.02,-0.04,-0.04
10345,-1.24,-0.11,7.31,-0.02,-0.04,-0.04
10400,-1.25,-0.11,7.31,-0.02,-0.04,-0.04
10456,-1.24,-0.10,7.38,-0.02,-0.04,-0.04
10512,-1.24,-0.10,7.34,-0.02,-0.04,-0.04
10567,-1.24,-0.11,7.33,-0.02,-0.04,-0.04
10622,-1.22,-0.10,7.32,-0.02,-0.04,-0.04
10678,-1.24,-0.10,7.35,-0.02,-0.04,-0.04
10733,-1.24,-0.09,7.36,-0.02,-0.04,-0.04
10789,-1.24,-0.12,7.33,-0.02,-0.04,-0.04
10845,-1.23,-0.09,7.33,-0.02,-0.04,-0.04
10900,-1.24,-0.64,7.37,-0.01,-0.04,-0.20
10955,-1.19,-0.29,7.34,-0.02,-0.04,0.01
11012,-1.20,-0.51,7.35,-0.03,-0.04,0.19
11067,-1.30,-0.08,7.36,-0.03,-0.04,0.17
11122,-1.49,-0.02,7.33,-0.03,-0.04,0.13
11177,-1.05,-0.10,7.35,-0.03,-0.04,0.11
11234,-1.35,0.06,7.33,-0.03,-0.04,0.10
11289,-1.30,-0.10,7.33,-0.02,-0.04,0.09
11344,-1.20,-0.01,7.33,-0.03,-0.04,0.07
11400,-1.25,0.19,7.32,-0.03,-0.04,0.11
11456,-1.27,0.15,7.30,-0.03,-0.04,0.09
11511,-1.14,0.36,7.33,-0.02,-0.04,0.03
11567,-1.23,-0.09,7.35,-0.02,-0.05,-0.04
11622,-1.16,0.20,7.33,-0.02,-0.04,-0.01
11678,-1.41,0.15,7.33,-0.02,-0.04,-0.08
11734,-1.40,0.32,7.32,-0.02,-0.04,-0.08
11789,-1.05,0.05,7.34,-0.02,-0.04,-0.13
11844,-1.23,-0.13,7.30,-0.01,-0.04,-0.22
11900,-1.22,0.07,7.34,-0.01,-0.04,-0.20
11956,-1.21,-0.07,7.31,-0.01,-0.04,-0.20
12011,-1.23,-0.11,7.32,-0.02,-0.04,-0.15
12066,-1.33,0.16,7.35,-0.02,-0.04,-0.10
12123,-1.37,-0.24,7.33,-0.02,-0.04,-0.09
12178,-1.26,-0.01,7.32,-0.02,-0.04,-0.15
12233,-1.11,0.00,7.32,-0.02,-0.04,-0.11
12289,-1.38,0.03,7.38,-0.02,-0.04,-0.13
12345,-1.07,-0.26,7.36,-0.01,-0.04,-0.22
12400,-1.47,-0.17,7.33,-0.01,-0.04,-0.18
12455,-1.32,-0.45,7.38,-0.01,-0.04,-0.22
12511,-1.14,-0.39,7.34,-0.01,-0.04,-0.21
12567,-1.25,-0.34,7.35,-0.01,-0.04,-0.22
12622,-1.25,-0.33,7.34,-0.02,-0.04,-0.15
12678,-1.12,-0.83,7.35,-0.02,-0.05,-0.08
12734,-1.27,-0.11,7.35,-0.02,-0.04,-0.04
12789,-1.24,-0.09,7.35,-0.02,-0.05,-0.04
12845,-0.98,-0.83,7.37,-0.02,-0.05,-0.07
12900,-1.08,-0.57,7.32,-0.02,-0.04,0.00
12956,-1.26,-0.51,7.37,-0.02,-0.04,0.07
13011,-1.21,-0.61,7.33,-0.02,-0.04,0.04
13067,-1.34,-0.25,7.36,-0.03,-0.05,0.14
13122,-1.18,-0.15,7.34,-0.03,-0.04,0.15
13178,-1.41,0.04,7.31,-0.03,-0.04,0.16
13234,-1.40,0.15,7.36,-0.03,-0.04,0.08
13289,-1.33,-0.04,7.35,-0.02,-0.04,0.03
